source,key/id,uk,ru,en,pl,note
dict,+ Додати винагороду,+ Додати винагороду,+ Добавить награду,+ Add reward,+ Dodaj nagrodę,
dict,+ Додати ціль,+ Додати ціль,+ Добавить цель,+ Add goal,+ Dodaj cel,
dict,+ Нова ціль,+ Нова ціль,+ Новая цель,+ New goal,+ Nowy cel,
dict,+ Створити челендж,+ Створити челендж,+ Создать челлендж,+ Create a challenge,+ Utwórz wyzwanie,
dict,1 очко досвіду = 1 хвилина практики,1 очко досвіду = 1 хвилина практики,1 очко опыта = 1 минута практики,1 XP point = 1 minute of practice,1 punkt doświadczenia = 1 minuta praktyki,
dict,1 практика холоду,1 практика холоду,1 практика холода,1 cold practice,1 praktyka zimna,
dict,1 сесія спокою,1 сесія спокою,1 сессия спокойствия,1 calm session,1 sesja spokoju,
dict,1 хв практики = 1 очко. Ось як воно ділиться між навичками.,1 хв практики = 1 очко. Ось як воно ділиться між навичками.,1 мин практики = 1 очко. Вот как оно делится между навыками.,1 min of practice = 1 point. Here's how it's split across skills.,1 min praktyki = 1 punkt. Oto jak dzieli się między umiejętności.,
dict,1 хв у холоді,1 хв у холоді,1 мин в холоде,1 min in cold,1 min w zimnie,
dict,1 — Смак,1 — Смак,1 — Вкус,1 — Taste,1 — Smak,
dict,10 год сумарно,10 год сумарно,10 ч суммарно,10 h total,10 h łącznie,
dict,10 годин читання,10 годин читання,10 часов чтения,10 hours of reading,10 godzin czytania,
dict,10 книг,10 книг,10 книг,10 books,10 książek,ru=uk?
dict,10–12 рівень,10–12 рівень,10–12 уровень,Levels 10–12,Poziom 10–12,
dict,10–15 хвилин на день — достатньо для початку,10–15 хвилин на день — достатньо для початку,10–15 минут в день — достаточно для начала,10–15 minutes a day is enough to start,10–15 minut dziennie wystarczy na początek,
dict,10–20 хвилин для перезавантаження,10–20 хвилин для перезавантаження,10–20 минут для перезагрузки,10–20 minutes to reset,10–20 minut na reset,
dict,13–15 рівень,13–15 рівень,13–15 уровень,Levels 13–15,Poziom 13–15,
dict,15 хв,15 хв,15 мин,15 min,15 min,pl=en?
dict,1–3 рівень,1–3 рівень,1–3 уровень,Levels 1–3,Poziom 1–3,
dict,2 — Запах,2 — Запах,2 — Запах,2 — Smell,2 — Zapach,ru=uk?
dict,3 книги,3 книги,3 книги,3 books,3 książki,ru=uk?
dict,3 хв поспіль,3 хв поспіль,3 мин подряд,3 min in a row,3 min z rzędu,
dict,3 — Відчуваю,3 — Відчуваю,3 — Чувствую,3 — Feel,3 — Czuję,
dict,30 днів,30 днів,30 дней,30 days,30 dni,
dict,30 хв,30 хв,30 мин,30 min,30 min,pl=en?
dict,300 хв вправ,300 хв вправ,300 мин упражнений,300 min of exercise,300 min ćwiczeń,
dict,4 — Чую,4 — Чую,4 — Слышу,4 — Hear,4 — Słyszę,
dict,"40 Гц повʼязують із памʼяттю, концентрацією та ясністю мислення — це найкраще досліджений діапазон серед бінаурал-ритмів. Слухають для глибокої розумової роботи.","40 Гц повʼязують із памʼяттю, концентрацією та ясністю мислення — це найкраще досліджений діапазон серед бінаурал-ритмів. Слухають для глибокої розумової роботи.","40 Гц связывают с памятью, концентрацией и ясностью мышления — это наиболее изученный диапазон среди бинаурал-ритмов. Слушают для глубокой умственной работы.","40 Hz is linked to memory, concentration and clarity of thought — the best-studied range among binaural beats. People listen for deep mental work.","40 Hz wiąże się z pamięcią, koncentracją i jasnością myślenia — to najlepiej zbadany zakres wśród rytmów binauralnych. Słucha się do głębokiej pracy umysłowej.",
dict,4–6 рівень,4–6 рівень,4–6 уровень,Levels 4–6,Poziom 4–6,
dict,5 год сумарно,5 год сумарно,5 ч суммарно,5 h total,5 h łącznie,
dict,5 хв,5 хв,5 мин,5 min,5 min,pl=en?
dict,5 — Бачу,5 — Бачу,5 — Вижу,5 — See,5 — Widzę,
