severity,area,lang,key,issue,value
REVIEW,gender,es,Така пошта вже зареєстрована.,possible gendered participle addressing user,Este correo ya está registrado.
REVIEW,gender,es,Кожен день із практикою позначено — так наочно видно твою серію й ритм занять.,possible gendered participle addressing user,"Cada día con práctica está marcado, así se ve con claridad tu racha y tu ritmo."
REVIEW,de-caps,de,Ще немає цілей. Додай першу нижче.,"lowercase word after ""dein"": ""erstes""",Noch keine Ziele. Füge unten dein erstes hinzu.
REVIEW,de-caps,de,"Resonance — це персональний компаньйон для тілесних і ментальних практик. Ідея проста: ти — свій персонаж, і прокачуєш не аватар, а себе.","lowercase word after ""ein"": ""persönlicher""","Resonance ist ein persönlicher Begleiter für körperliche und mentale Praktiken. Die Idee ist einfach: Du bist dein Charakter und entwickelst dich selbst, keinen Avatar."
REVIEW,de-caps,de,"Бажання вдихнути виникає тоді, коли в крові зростає рівень CO₂, а не коли закінчується кисень. Хеморецептори реагують саме на вуглекислий газ. Тому тренована «толерантність до CO₂» дає відчуття спокою й контролю навіть тоді, коли тіло сигналізує дихати.","lowercase word after ""eine"": ""trainierte""","Der Drang einzuatmen entsteht, wenn der CO₂-Spiegel im Blut steigt, nicht wenn der Sauerstoff ausgeht. Chemorezeptoren reagieren gerade auf Kohlendioxid. Deshalb gibt eine trainierte „CO₂-Toleranz“ Ruhe und Kontrolle, selbst wenn der Körper zum Atmen drängt."
REVIEW,de-caps,de,"У відомому дослідженні 2014 року учасники, навчені методу, змогли свідомо вплинути на запальну відповідь після введення ендотоксину. Це цікавий результат, але група була невеликою, тож узагальнювати рано.","lowercase word after ""einer"": ""bekannten""","In einer bekannten Studie von 2014 konnten in der Methode geschulte Teilnehmer ihre Entzündungsreaktion nach einer Endotoxin-Injektion bewusst beeinflussen. Ein interessantes Ergebnis, aber die Gruppe war klein, daher ist es früh zu verallgemeinern."
REVIEW,de-caps,de,Підходить для щоденного заспокоєння,"lowercase word after ""zur"": ""täglichen""",Gut zur täglichen Beruhigung
REVIEW,de-caps,de,"Видих активує гальмівну гілку нервової системи, і пульс трохи сповільнюється.","lowercase word after ""den"": ""beruhigenden""",Das Ausatmen aktiviert den beruhigenden Zweig des Nervensystems und der Puls sinkt leicht.
REVIEW,de-caps,de,"Під час видиху активність блукаючого нерва зростає, і серцевий ритм природно сповільнюється — це називають дихальною аритмією. Якщо видих довший за вдих, заспокійливий ефект сильніший.","lowercase word after ""das"": ""nennt""","Beim Ausatmen steigt die Aktivität des Vagusnervs und der Herzschlag verlangsamt sich natürlich — das nennt man respiratorische Arrhythmie. Ist das Ausatmen länger als das Einatmen, ist die beruhigende Wirkung stärker."
REVIEW,de-caps,de,Два вдихи підряд і довгий видих — найшвидший спосіб збити гострий стрес.,"lowercase word after ""ein"": ""langes""","Zwei Einatmungen hintereinander und ein langes Ausatmen — der schnellste Weg, akuten Stress zu senken."
REVIEW,de-caps,de,"«Фізіологічне зітхання» — це короткий другий довдих на піку вдиху, а потім повільний видих. Воно розправляє спалі альвеоли й ефективно виводить CO₂, швидко знижуючи збудження.","lowercase word after ""ein"": ""kurzes""","Der „physiologische Seufzer“ ist ein kurzes zweites Einatmen am Höhepunkt, gefolgt von langsamem Ausatmen. Er entfaltet kollabierte Lungenbläschen und leitet CO₂ effizient ab, was die Erregung schnell senkt."
REVIEW,de-caps,de,Це природний механізм — ми робимо так уві сні та після плачу. Свідомо 1–3 цикли часто достатньо.,"lowercase word after ""ein"": ""natürlicher""",Es ist ein natürlicher Mechanismus — wir tun das im Schlaf und nach dem Weinen. Bewusst genügen oft 1–3 Zyklen.
REVIEW,de-caps,de,"У людей ефект на загальний метаболізм помірний та індивідуальний. Холод корисний багатьма способами, але це не інструмент для швидкого схуднення.","lowercase word after ""zum"": ""schnellen""","Beim Menschen ist die Wirkung auf den Gesamtstoffwechsel mäßig und individuell. Kälte hilft auf viele Arten, ist aber kein Mittel zum schnellen Abnehmen."
REVIEW,de-caps,de,Чому після холодного душу гарний настрій,"lowercase word after ""einer"": ""kalten""",Warum die Stimmung nach einer kalten Dusche gut ist
REVIEW,de-caps,de,"Доказова база радше про субʼєктивне самопочуття, ніж про конкретні «детокс»-ефекти. Завершуй холодом, якщо хочеш бадьорості, теплом — якщо розслаблення.","lowercase word after ""das"": ""subjektive""","Die Belege betreffen eher das subjektive Wohlbefinden als konkrete „Detox“-Effekte. Beende mit Kälte für Frische, mit Wärme für Entspannung."
REVIEW,de-caps,de,Світло вранці — головний регулятор сну,"lowercase word after ""der"": ""wichtigste""",Morgenlicht ist der wichtigste Schlafregler
REVIEW,de-caps,de,Яскраве світло у перші години після пробудження налаштовує внутрішній годинник.,"lowercase word after ""den"": ""ersten""",Helles Licht in den ersten Stunden nach dem Aufwachen stellt die innere Uhr.
REVIEW,de-caps,de,"Ранкове світло, особливо денне надворі, задає циркадний ритм: піднімає денну бадьорість і зміщує вечірню сонливість у потрібний бік. Це одна з найсильніших і найдешевших звичок для сну.","lowercase word after ""den"": ""zirkadianen""","Morgenlicht, besonders Tageslicht im Freien, gibt den zirkadianen Rhythmus vor: Es hebt die Wachheit am Tag und verschiebt die abendliche Müdigkeit in die richtige Richtung. Es ist eine der stärksten und günstigsten Schlafgewohnheiten."
REVIEW,de-caps,de,Лови денне світло у перші години,"lowercase word after ""den"": ""ersten""",Fang Tageslicht in den ersten Stunden
REVIEW,de-caps,de,Стабільний час — недооцінена звичка,"lowercase word after ""eine"": ""unterschätzte""",Feste Zeiten — eine unterschätzte Gewohnheit
REVIEW,de-caps,de,Однаковий час підйому щодня стабілізує циркадний ритм сильніше за ґаджети.,"lowercase word after ""den"": ""zirkadianen""",Dieselbe Aufstehzeit täglich stabilisiert den zirkadianen Rhythmus stärker als Gadgets.
REVIEW,de-caps,de,"Регулярний час пробудження — навіть на вихідних — тримає внутрішній годинник у фазі. Це впливає на сон сильніше, ніж більшість «розумних» девайсів.","lowercase word after ""die"": ""innere""",Eine regelmäßige Aufwachzeit — auch am Wochenende — hält die innere Uhr in Phase. Das beeinflusst den Schlaf stärker als die meisten „smarten“ Geräte.
REVIEW,de-caps,de,"Сталість важливіша за ідеальну тривалість окремої ночі: одна недоспана ніч менш шкідлива, ніж постійний хаос у графіку.","lowercase word after ""die"": ""perfekte""",Beständigkeit zählt mehr als die perfekte Länge einer einzelnen Nacht: Eine kurze Nacht schadet weniger als ständiges Zeitplan-Chaos.
REVIEW,de-caps,de,Прокидайся в один час щодня,"lowercase word after ""zur"": ""selben""",Wach jeden Tag zur selben Zeit auf
REVIEW,de-caps,de,"Спрямована увага — обмежений ресурс. Перебування на природі або хоча б погляд удалечінь дає мозку «мʼяке» відновлення, після якого легше фокусуватися.","lowercase word after ""eine"": ""begrenzte""","Gerichtete Aufmerksamkeit ist eine begrenzte Ressource. Zeit in der Natur oder auch nur der Blick in die Ferne gibt dem Gehirn eine „sanfte“ Erholung, nach der es leichter fällt, sich zu fokussieren."
REVIEW,de-caps,de,Сповіщення — головний крадій уваги,"lowercase word after ""der"": ""größte""",Benachrichtigungen sind der größte Aufmerksamkeitsdieb
REVIEW,de-caps,de,"Блукаючий нерв (вагус) — головний канал парасимпатичної системи. Його активність повʼязана зі спокоєм, травленням і відновленням.","lowercase word after ""des"": ""parasympathischen""","Der Vagusnerv ist der Hauptkanal des parasympathischen Systems. Seine Aktivität hängt mit Ruhe, Verdauung und Erholung zusammen."
REVIEW,de-caps,de,"Прості важелі впливу: повільне дихання з довгим видихом, холод на обличчя, спокійний голос і навіть наспівування — все це підвищує вагусний тонус.","lowercase word after ""das"": ""erhöht""","Einfache Hebel: langsames Atmen mit langem Ausatmen, Kälte im Gesicht, ruhige Stimme und sogar Summen — all das erhöht den Vagustonus."
REVIEW,de-caps,de,Порівнюй із власним базовим рівнем,"lowercase word after ""deinem"": ""eigenen""",Vergleiche mit deinem eigenen Ausgangswert
REVIEW,de-caps,de,Ефект накопичувальний: навіть 10–15 хвилин на день складаються в помітний результат за місяці.,"lowercase word after ""ein"": ""spürbares""",Der Effekt summiert sich: Schon 10–15 Minuten täglich ergeben über Monate ein spürbares Ergebnis.
REVIEW,de-caps,de,Бінаурали мають лише попередню базу; «Solfeggio» і 432 Гц — традиція без доказів.,"lowercase word after ""eine"": ""vorläufige""",Binaurals haben nur eine vorläufige Basis; „Solfeggio“ und 432 Hz sind Tradition ohne Belege.
REVIEW,de-caps,de,"«Solfeggio»-частоти та 432 Гц — це сучасний міф без наукового підґрунтя. Цінність прослуховування — у самому ритуалі спокою й уважності, а не в магії конкретних чисел.","lowercase word after ""ein"": ""moderner""","„Solfeggio“-Frequenzen und 432 Hz sind ein moderner Mythos ohne wissenschaftliche Grundlage. Der Wert des Hörens liegt im Ritual von Ruhe und Achtsamkeit, nicht in der Magie bestimmter Zahlen."
REVIEW,de-caps,de,Користь — у спокійному усвідомленому слуханні,"lowercase word after ""im"": ""ruhigen""","Der Nutzen liegt im ruhigen, bewussten Hören"
REVIEW,de-caps,de,"Заверши звичайний душ прохолодною, далі холодною водою. Дихай повільно й рівно, не затримуй дих від шоку. Дає бадьорість і дофамін надовго, гартує судини й імунітет.","lowercase word after ""die"": ""normale""","Beende die normale Dusche mit kühlem, dann kaltem Wasser. Atme langsam und gleichmäßig, halte vor Schreck nicht die Luft an. Gibt anhaltende Frische und Dopamin, stärkt Gefäße und Immunität."
REVIEW,de-caps,de,"Занурення у крижану воду — потужне відновлення після навантажень і тренування стійкості. Контролюй дихання, виходь, якщо німіють кінцівки або сильно трусить.","lowercase word after ""eine"": ""kraftvolle""","Eintauchen in eiskaltes Wasser ist eine kraftvolle Erholung nach Belastung und ein Resilienztraining. Kontrolliere die Atmung, steig aus, wenn Gliedmaßen taub werden oder du stark zitterst."
REVIEW,de-caps,de,Підвищує ментальну стійкість,"lowercase word after ""die"": ""mentale""",Steigert die mentale Widerstandskraft
REVIEW,de-caps,de,"Обери частоту — на сторінці буде опис, користь і кілька треків у YouTube Music на вибір.","lowercase word after ""ein"": ""paar""","Wähle eine Frequenz — die Seite hat Beschreibung, Nutzen und ein paar YouTube-Music-Titel zur Auswahl."
REVIEW,de-caps,de,"Вдих на 4, затримка на 7, повільний видих на 8. Довгий видих активує парасимпатичну нервову систему — тіло переходить у режим спокою. Найкраще працює перед сном.","lowercase word after ""das"": ""parasympathische""","4 einatmen, 7 halten, langsam 8 ausatmen. Das lange Ausatmen aktiviert das parasympathische Nervensystem — der Körper geht in den Ruhemodus. Wirkt am besten vor dem Schlaf."
REVIEW,de-caps,de,"Квадратне дихання 4-4-4-4 (вдих-затримка-видих-затримка). Швидко заспокоює й повертає контроль. Ідеально перед співбесідою, складною розмовою чи коли нервуєш.","lowercase word after ""einer"": ""schwierigen""","Box-Atmung 4-4-4-4 (ein-halten-aus-halten). Beruhigt schnell und gibt die Kontrolle zurück. Ideal vor einem Gespräch, einer schwierigen Unterhaltung oder wenn du nervös bist."
REVIEW,de-caps,de,"Бінаурал-ритми: у вуха йдуть трохи різні частоти, мозок чує «биття» їхньої різниці. Це єдина категорія тут із попередньою науковою базою. Слухай лише в навушниках.","lowercase word after ""die"": ""einzige""","Binaurale Beats: In die Ohren gehen leicht unterschiedliche Frequenzen, das Gehirn hört den „Schlag“ ihrer Differenz. Das ist hier die einzige Kategorie mit vorläufiger wissenschaftlicher Basis. Höre nur mit Kopfhörern."
REVIEW,de-caps,de,"У моменті стресу — квадратне дихання 4-4-4-4 кілька циклів, найшвидше повертає контроль. Для щоденної стійкості — когерентне дихання.","lowercase word after ""das"": ""gibt""","Im Stressmoment — Box-Atmung 4-4-4-4 einige Zyklen, das gibt am schnellsten die Kontrolle zurück. Für tägliche Widerstandskraft — kohärente Atmung."
REVIEW,de-caps,de,Поки що немає записів. Зроби першу практику — і я почну відстежувати твій прогрес!,"lowercase word after ""deine"": ""erste""","Noch keine Einträge. Mach deine erste Praktik — und ich beginne, deinen Fortschritt zu verfolgen!"
