source,key/id,uk,es,fr,de,note
dict,+ Додати винагороду,+ Додати винагороду,+ Añadir recompensa,+ Ajouter une récompense,+ Belohnung hinzufügen,
dict,+ Додати ціль,+ Додати ціль,+ Añadir objetivo,+ Ajouter un objectif,+ Ziel hinzufügen,
dict,+ Нова ціль,+ Нова ціль,+ Nuevo objetivo,+ Nouvel objectif,+ Neues Ziel,
dict,+ Створити челендж,+ Створити челендж,+ Crear un reto,+ Créer un défi,+ Challenge erstellen,
dict,1 очко досвіду = 1 хвилина практики,1 очко досвіду = 1 хвилина практики,1 punto de experiencia = 1 minuto de práctica,1 point d'expérience = 1 minute de pratique,1 Erfahrungspunkt = 1 Minute Praktik,
dict,1 практика холоду,1 практика холоду,1 práctica de frío,1 pratique du froid,1 Kälte-Praxis,
dict,1 сесія спокою,1 сесія спокою,1 sesión de calma,1 séance de sérénité,1 Ruhe-Sitzung,
dict,1 хв практики = 1 очко. Ось як воно ділиться між навичками.,1 хв практики = 1 очко. Ось як воно ділиться між навичками.,1 min de práctica = 1 punto. Así se reparte entre las habilidades.,1 min de pratique = 1 point. Voici comment il se répartit entre les compétences.,1 Min Praxis = 1 Punkt. So verteilt er sich auf die Fähigkeiten.,
dict,1 хв у холоді,1 хв у холоді,1 min en el frío,1 min dans le froid,1 Min in der Kälte,
dict,1 — Смак,1 — Смак,1 — Sabor,1 — Goût,1 — Geschmack,
dict,10 год сумарно,10 год сумарно,10 h en total,10 h au total,10 Std insgesamt,
dict,10 годин читання,10 годин читання,10 horas de lectura,10 heures de lecture,10 Stunden Lesen,
dict,10 книг,10 книг,10 libros,10 livres,10 Bücher,
dict,10–12 рівень,10–12 рівень,Niveles 10–12,Niveaux 10–12,Level 10–12,
dict,10–15 хвилин на день — достатньо для початку,10–15 хвилин на день — достатньо для початку,10–15 minutos al día bastan para empezar,10–15 minutes par jour suffisent pour commencer,10–15 Minuten am Tag reichen für den Anfang,
dict,10–20 хвилин для перезавантаження,10–20 хвилин для перезавантаження,10–20 minutos para reiniciar,10–20 minutes pour se réinitialiser,10–20 Minuten zum Zurücksetzen,
dict,13–15 рівень,13–15 рівень,Niveles 13–15,Niveaux 13–15,Level 13–15,
dict,15 хв,15 хв,15 min,15 min,15 Min.,
